src_addr|dst_addr|proto_name|src_port|dst_port|timestamp|payload_shannon_entropy|payload_kolmogorov_complexity
('sjc-not13.sjc.dropbox.com', [], ['199.47.218.148'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|35483|1360593635.34|5.03509122652|0.865921787709
('coll-PC.home', [], ['192.168.1.14'])|('sjc-not13.sjc.dropbox.com', [], ['199.47.218.148'])|TCP|35483|80|1360593635.34|4.91855978915|0.743820224719
('coll-PC.home', [], ['192.168.1.14'])|('wb-in-f94.1e100.net', [], ['74.125.132.94'])|TCP|57959|80|1360593643.48|6.0223717338|0.791111111111
('wb-in-f94.1e100.net', [], ['74.125.132.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|57959|1360593643.54|6.59290830888|0.890151515152
('coll-PC.home', [], ['192.168.1.14'])|('wg-in-f94.1e100.net', [], ['173.194.78.94'])|TCP|44892|80|1360593643.84|6.02113037049|0.790251107829
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44892|1360593643.9|6.57901358155|0.895716945996
('coll-PC.home', [], ['192.168.1.14'])|('wg-in-f94.1e100.net', [], ['173.194.78.94'])|TCP|44946|80|1360593644.11|6.02074611585|0.790560471976
('coll-PC.home', [], ['192.168.1.14'])|('wg-in-f94.1e100.net', [], ['173.194.78.94'])|TCP|44947|80|1360593644.17|5.98444011017|0.735894357743
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44946|1360593644.17|6.57047756161|0.888045540797
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.25|7.69380089477|1.00564174894
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.26|7.83550632936|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.26|7.87737893548|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.27|7.82306917414|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.27|7.87998040758|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.28|7.87940809139|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.29|7.82113601091|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.29|7.8498627841|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.3|7.83375253525|1.0077574048
('wg-in-f94.1e100.net', [], ['173.194.78.94'])|('coll-PC.home', [], ['192.168.1.14'])|TCP|80|44947|1360593644.3|7.83995896066|1.0077574048
